Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10
BIOL 632,,,,,,,,,,
BIOL 635,,,,,,,,,,
BIOL 639,,,,,,,,,,
BIOL 642,BIOL 205,BIOL 240,,,,,,,,
BIOL 648,,,,,,,,,,
BIOL 649,BIOL 205,BIOL 240,,,,,,,,
BIOL 650,,,,,,,,,,
BIOL 657,,,,,,,,,,
BIOL 659,,,,,,,,,,
BIOL 661,BIOL 260,,,,,,,,,
BIOL 669,BIOL 201,BIOL 260,,,,,,,,
BIOL 680,,,,,,,,,,
BIOL 690,,,,,,,,,,
BIOL 692H,,,,,,,,,,
BIOL 701,,,,,,,,,,
BIOL 702,,,,,,,,,,
BIOL 703,,,,,,,,,,
BIOL 704,,,,,,,,,,
BIOL 705,,,,,,,,,,
BIOL 711,,,,,,,,,,
BIOL 713,,,,,,,,,,
BIOL 758,BIOL 471,,,,,,,,,
BIOL 801,,,,,,,,,,
BIOL 810,,,,,,,,,,
BIOL 829,,,,,,,,,,
BIOL 831,,,,,,,,,,
BIOL 832,BIOL 202,,,,,,,,,
BIOL 841,BIOL 205,,,,,,,,,
BIOL 842,,,,,,,,,,
BIOL 845,,,,,,,,,,
BIOL 852,,,,,,,,,,
BIOL 853,,,,,,,,,,
BIOL 854,,,,,,,,,,
BIOL 855,BIOL 475,,,,,,,,,
BIOL 856,,,,,,,,,,
BIOL 857,,,,,,,,,,
BIOL 858,BIOL 451,,,,,,,,,
BIOL 859,,,,,,,,,,
BIOL 861,STOR 155,,,,,,,,,
BIOL 890,,,,,,,,,,
BIOL 891,,,,,,,,,,
BIOL 892,,,,,,,,,,
BIOL 901,,,,,,,,,,
BIOL 921,,,,,,,,,,
BIOL 931,,,,,,,,,,
BIOL 932,,,,,,,,,,
BIOL 941,,,,,,,,,,
BIOL 942,,,,,,,,,,
BIOL 943,,,,,,,,,,
BIOL 951,,,,,,,,,,
BIOL 952,,,,,,,,,,
BIOL 953,,,,,,,,,,
BIOL 954,,,,,,,,,,
BIOL 955,,,,,,,,,,
BIOL 957,,,,,,,,,,
BIOL 958,,,,,,,,,,
BIOL 959,,,,,,,,,,
BIOL 961,,,,,,,,,,
BIOL 992,,,,,,,,,,
BIOL 993,,,,,,,,,,
BIOL 994,,,,,,,,,,
